rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
134,Portland St.,BSky,15-6,103.6909,262,101.0944,55,0.572395,134,19.7756,9.224396,13.7756,4.224396,1-Sep,0.390718,0.375253,0.407729,0.406433,0.375253,0.425487,0.893674,0.869101,109.8711,111.7901,109.7523,111.7654,105.0171,99.33279,0,0,0,0,0.065187,768,681,691.0125,1.111413,0.98551,0.447685,0.9,-2.86122,94,48,67.36612
135,Troy,SB,15-8,112.8351,109,110.1358,209,0.569165,135,20.55968,10.44032,13.18992,4.810076,3-Aug,0.408536,0.455301,0.357519,0.38815,0.478145,0.323154,0.891236,0.821497,106.9934,109.151,105.9904,109.8092,112.6888,109.6882,129.3115,106.5697,0.902418,2,0.022152,857,781,742.375,1.154403,1.052029,0.26915,0.727273,-4.2099,129,112,66.04093
136,Middle Tennessee,CUSA,10-Nov,107.859,194,105.3068,101,0.568418,136,16.85413,14.14587,10.85413,9.145869,5-May,0.480472,0.509052,0.449033,0.471364,0.509052,0.450636,0.845444,0.74984,111.7021,107.0047,110.1582,107.8785,105.5072,105.0868,109.2345,93.54067,0.856147,2,-0.05157,694,690,661.65,1.048893,1.042847,0.452239,0.5,-5.46556,165,291,64.57073
137,Boston College,ACC,13-Sep,102.369,283,99.98727,39,0.567271,137,11.61166,19.38834,4.611657,13.38834,7-Feb,0.566081,0.386462,0.825531,0.62753,0.386462,0.801634,0.738748,0.90635,111.2296,107.2286,112.7028,106.1395,103.5877,97.26583,106.3297,99.74704,0.675886,5,-0.07644,561,636,597.625,0.938716,1.064213,0.777737,0.222222,-6.44176,198,330,65.55646
138,Montana,BSky,13-10,108.3555,184,105.8565,113,0.566681,138,19.10706,11.89294,12.10706,5.892943,3-Jul,0.416003,0.413606,0.419119,0.420866,0.413606,0.426109,0.870307,0.817582,111.2573,110.2552,110.5696,110.6559,109.5244,103.5146,106.8457,107.2836,0.488243,2,-0.05497,768,701,680.675,1.128292,1.02986,0.434845,0.7,-5.6588,172,295,69.01614
139,William & Mary,CAA,14-8,110.0484,147,107.5308,142,0.566146,139,19.36544,10.63456,10.36544,7.634555,5-May,0.419168,0.411273,0.428641,0.403394,0.411273,0.398141,0.88764,0.840075,108.2557,109.4343,108.2006,110.7155,110.4698,110.63,91.4002,97.2815,0.32802,1,0.013863,802,784,717.0625,1.118452,1.09335,0.360015,0.5,-4.27965,131,141,73.26488
140,Southern Illinois,MVC,13-Oct,102.9838,275,100.7419,50,0.562942,140,14.74415,16.25585,8.744147,11.25585,8-Apr,0.546387,0.445322,0.639029,0.5237,0.445322,0.566807,0.840579,0.845023,109.7237,107.0397,109.0035,107.5278,99.52503,96.98142,105.0121,91.42446,0.831104,2,-0.06022,807,825,836.4625,0.964777,0.986296,0.458473,0.333333,-7.44746,227,306,69.42502
141,Temple,Amer,14-8,112.379,118,110.1173,208,0.558186,141,18.63471,12.36529,10.63471,7.365286,3-Jun,0.437366,0.434864,0.440979,0.464223,0.434864,0.485426,0.865284,0.86966,106.4145,108.9098,107.4304,108.6538,107.8742,105.8773,112.4432,109.1644,0.584269,1,0.021474,647,618,594.8625,1.087646,1.038896,0.529873,0.666667,-4.31959,132,114,64.96502
142,Bradley,MVC,16-8,111.1237,131,108.9462,173,0.556652,142,18.62262,12.37738,11.62262,8.377383,4-Sep,0.457327,0.392105,0.512515,0.505213,0.392105,0.567423,0.862185,0.906444,107.7801,108.751,108.3369,107.5378,112.5126,111.8176,115.9231,111.2045,0.61725,1,0.068777,1029,1014,924,1.113636,1.097403,0.669394,0.692308,-3.96726,123,43,67.77361
143,Kent St.,MAC,17-6,109.7108,154,107.5647,143,0.556553,143,22.19746,8.802542,12.60406,5.395939,3-Aug,0.442232,0.387872,0.501533,0.42835,0.387989,0.457499,0.880982,0.878625,111.3819,111.3784,109.827,111.0983,108.5941,106.3702,86.91755,98.32776,0.194899,2,0.130475,877,857,798.225,1.098688,1.073632,0.388304,0.727273,-2.04411,78,7,70.81006
144,Fresno St.,MWC,11-Nov,104.4255,251,102.4148,65,0.555665,144,14.19179,16.80821,8.191786,11.80821,6-May,0.537915,0.421605,0.654226,0.578042,0.421605,0.664083,0.783147,0.874962,110.4479,107.1177,111.3682,106.5417,103.4339,99.75718,88.58431,93.80076,0.341187,4,-0.02187,772,786,766.225,1.007537,1.025808,0.676132,0.454545,-5.77477,178,242,68.53264
145,Mercer,SC,15-8,114.2203,88,112.1167,249,0.55324,145,21.06382,9.936178,13.06382,4.936178,3-Jul,0.376127,0.453665,0.275327,0.350999,0.453665,0.276852,0.881077,0.788874,109.4546,112.2809,108.2694,113.0578,116.9042,115.1453,104.0231,98.12106,0.661889,3,0.010993,887,784,701.3,1.264794,1.117924,0.278758,0.7,-3.77422,117,152,69.76396
146,Montana St.,BSky,13-10,110.0033,149,107.9897,148,0.552914,146,18.007,12.993,12.007,5.992997,3-Jul,0.43345,0.431958,0.435388,0.429431,0.431958,0.427606,0.872888,0.824722,110.8474,110.5881,110.1088,110.9079,111.5115,108.7167,106.0924,93.47469,0.810939,2,-0.02232,771,730,670.8125,1.149352,1.088233,0.417878,0.7,-5.63725,171,243,65.38253
147,UNC Wilmington,CAA,19-3,110.7557,135,108.8791,168,0.548972,147,24.70888,6.291123,13.70888,4.291123,1-Aug,0.320005,0.271078,0.390677,0.350827,0.271078,0.408423,0.928142,0.944586,103.7996,110.5651,105.4296,111.0483,108.388,107.9486,0,0,0,0,0.159283,668,617,597.7375,1.117547,1.032226,0.426169,0.888889,-0.78403,65,4,64.53223
148,UT Rio Grande Valley,Slnd,11-Dec,107.5985,198,106.1165,116,0.539788,148,16.74482,14.25518,12.74482,9.255178,6-Aug,0.423565,0.495018,0.377631,0.425452,0.495018,0.396994,0.863565,0.767068,108.3273,108.892,107.8549,109.0701,107.7048,106.9002,104.8136,103.483,0.536665,4,-0.07564,1011,969,925.95,1.091852,1.046493,0.430878,0.571429,-6.68475,206,328,66.64823
149,Valparaiso,MVC,12-Nov,106.5633,217,105.1035,94,0.539574,149,15.61758,15.38242,9.617579,10.38242,7-May,0.513674,0.369382,0.645941,0.498229,0.369382,0.569094,0.846421,0.863413,108.8061,107.5923,108.3009,107.9238,108.5981,103.7451,103.3204,117.3252,0.188189,3,-0.04108,834,847,797.9,1.045244,1.061537,0.453823,0.416667,-6.88466,216,269,65.06157
150,Austin Peay,ASun,15-6,106.0026,230,104.8685,90,0.530885,150,20.90687,8.093128,14.90687,3.093128,1-Sep,0.348184,0.420734,0.268379,0.328467,0.420734,0.272081,0.913101,0.849708,107.7186,112.9469,107.8332,114.6435,107.5234,106.6685,115.1657,102.9882,0.783336,1,0.061466,815,732,706.4375,1.153676,1.036185,0.27671,0.9,-3.03214,98,51,69.23815
151,Charlotte,Amer,13-9,114.3819,86,113.1745,265,0.530471,151,17.03697,13.96303,11.03697,6.963032,2-Jul,0.458953,0.465319,0.449758,0.490384,0.465319,0.508486,0.852713,0.865534,108.7657,109.7731,108.8595,108.7807,116.6915,114.4125,107.4363,113.1456,0.355388,2,0.015389,705,679,591.275,1.192339,1.148366,0.567215,0.777778,-5.31798,159,135,62.92596
152,East Tennessee St.,SC,16-7,110.2108,145,109.088,177,0.529405,152,21.58536,9.414636,13.58536,4.414636,2-Aug,0.303231,0.346076,0.247532,0.307386,0.346076,0.279443,0.921085,0.885889,106.0804,114.0079,106.2401,114.3005,109.8534,108.0525,107.641,107.0543,0.515708,1,-0.01638,787,677,655.9875,1.199718,1.032032,0.319331,0.8,-4.41407,136,224,65.80565
153,Toledo,MAC,11-Dec,112.827,110,111.8795,245,0.524228,153,16.40762,14.59238,9.892699,8.107301,5-Jun,0.461767,0.46495,0.458294,0.458414,0.462642,0.455361,0.860464,0.837299,110.2932,109.4204,109.9045,109.8415,112.4074,111.6342,118.8766,116.3691,0.560987,2,-0.03852,876,851,767.65,1.141145,1.108578,0.450751,0.545455,-6.57539,203,266,68.3173
154,Idaho,BSky,13-9,109.6695,156,108.7744,162,0.523545,154,18.09099,12.90901,10.09099,7.909007,4-May,0.410003,0.402469,0.420886,0.418918,0.402469,0.430799,0.895469,0.880539,109.5045,110.6019,109.3002,110.9333,109.3109,109.6522,0,0,0,0,-0.00098,706,690,631.4625,1.118039,1.092701,0.440712,0.555556,-5.72698,175,182,66.87858
155,Rutgers,B10,14-Sep,110.516,140,109.672,190,0.522024,155,11.26438,19.73562,4.264384,15.73562,10-Feb,0.649676,0.394704,0.8834,0.672198,0.394704,0.824819,0.656474,0.85592,113.7428,104.4934,114.1787,104.1476,115.1227,111.1528,113.1427,112.6035,0.513729,12,0.014909,846,1013,810.15,1.044251,1.250386,0.736948,0.166667,-4.53358,140,136,65.28561
156,Marist,MAAC,15-7,100.417,314,99.78307,37,0.518198,156,20.06474,8.935262,14.06474,5.935262,4-Sep,0.307567,0.334938,0.288618,0.302808,0.334938,0.288349,0.936796,0.913343,104.1791,112.3325,104.3375,112.9318,97.62053,98.77423,0,0,0,0,-0.01676,895,816,877.525,1.019914,0.929888,0.28785,0.692308,-4.85652,150,227,66.35978
157,Winthrop,BSth,16-8,112.4558,116,111.8017,244,0.516765,157,20.82018,10.17982,12.82018,3.179822,1-Aug,0.371515,0.409855,0.307616,0.357506,0.409855,0.30843,0.870532,0.800648,108.1795,110.8327,107.2134,111.4957,109.7532,109.5481,111.982,103.7496,0.70643,3,0.03585,713,646,624.725,1.141302,1.034055,0.309476,0.888889,-3.70091,113,90,68.45592
158,Kennesaw St.,CUSA,14-8,109.5544,158,108.944,172,0.516059,158,18.99721,12.00279,10.99721,9.002786,5-Jun,0.387148,0.288986,0.485309,0.408626,0.288986,0.474428,0.891514,0.903203,107.8776,109.6934,107.825,109.5996,109.3165,108.0108,103.1228,103.8309,0.480337,1,0.014514,851,826,776.6125,1.095785,1.063593,0.461128,0.545455,-4.64694,145,139,72.19971
159,Missouri St.,CUSA,13-9,109.2765,166,108.798,164,0.512613,159,17.96993,13.03007,11.96993,8.030073,4-Jul,0.395059,0.343456,0.446661,0.415205,0.343456,0.454667,0.891986,0.896552,107.5376,109.244,107.4251,108.9969,112.8135,107.4083,112.68,124.7905,0.236138,1,-0.02453,838,797,743.95,1.12642,1.071309,0.464451,0.636364,-5.85416,180,247,64.7596
160,Massachusetts,MAC,15-9,109.5393,159,109.2811,181,0.506785,160,18.42355,12.57645,8.907251,9.092749,6-Jun,0.380344,0.339694,0.420994,0.409999,0.345604,0.456507,0.903936,0.935001,106.8194,111.3244,107.5938,110.8381,110.1355,112.6895,0,0,0,0,-0.01064,949,950,852.55,1.113131,1.114304,0.527534,0.5,-6.215,191,209,70.88263
161,UT Arlington,WAC,14-7,102.1346,290,101.971,59,0.504609,161,18.34037,11.65963,10.34037,7.659634,3-Jun,0.443251,0.446847,0.438457,0.459685,0.446847,0.468243,0.867929,0.849077,108.0454,108.2437,107.9128,108.0703,103.7197,103.0733,87.78863,94.15055,0.309047,1,0.110035,652,619,621.35,1.049328,0.996218,0.498029,0.666667,-3.29469,100,17,65.53552
162,Marshall,SB,14-8,109.8311,151,109.7428,195,0.502315,162,19.55348,11.44652,11.15322,6.846782,4-Jun,0.40731,0.447498,0.359085,0.400637,0.464689,0.354376,0.897537,0.85589,107.7537,110.5873,107.1588,110.5418,109.665,109.1948,113.927,121.0641,0.332085,1,0.043575,787,726,694.275,1.133557,1.045695,0.34849,0.6,-4.62116,144,77,69.06705
163,Richmond,A10,13-10,110.5546,138,110.5552,220,0.499985,163,16.25915,14.74085,6.259148,11.74085,7-Mar,0.460439,0.324481,0.637184,0.495743,0.324481,0.619433,0.851081,0.924005,108.5687,109.88,109.2644,109.1888,111.0359,115.2774,109.4636,106.8665,0.568598,3,0.010903,719,772,657.4375,1.09364,1.174256,0.597244,0.3,-5.61625,169,153,67.01631
164,Cal St. Northridge,BW,13-10,108.4845,180,108.5774,156,0.497538,164,18.06392,13.93608,11.06392,8.936077,5-Jun,0.453403,0.420115,0.489718,0.44579,0.420115,0.461195,0.883674,0.881167,108.2259,108.5208,107.6369,108.7805,107.5446,106.4719,0,0,0,0,0.022256,893,878,836.2125,1.06791,1.049972,0.426334,0.545455,-5.9783,185,111,73.65261
165,Central Arkansas,ASun,10-Dec,108.4688,182,108.6091,159,0.496284,165,18.17917,12.82083,13.17917,4.820827,2-Jul,0.370518,0.457467,0.244925,0.347756,0.457467,0.26852,0.864867,0.749604,109.647,112.5437,108.4796,113.6224,111.7558,112.2621,98.98419,107.3831,0.28159,4,-0.07481,767,684,623.775,1.22961,1.096549,0.292115,0.777778,-5.6163,170,325,68.06669
166,FIU,CUSA,11-Oct,108.4221,183,108.606,158,0.495129,166,15.1827,15.8173,8.182695,11.8173,7-Mar,0.423042,0.37213,0.479045,0.440547,0.37213,0.478176,0.860327,0.822706,109.9595,109.2608,108.905,108.7441,106.4347,108.1282,110.0747,112.1203,0.447259,3,-0.10595,775,789,726.575,1.066648,1.085917,0.477307,0.3,-7.09748,219,352,72.43079
167,North Texas,Amer,10-Dec,100.0476,317,100.2306,43,0.494745,167,16.68042,14.31958,7.680416,10.31958,6-Mar,0.455855,0.37776,0.568657,0.462106,0.37776,0.523022,0.858243,0.871722,109.6671,109.634,109.3603,109.8682,100.2385,100.065,91.70395,95.86262,0.375186,3,-0.00315,602,618,604.925,0.995165,1.021614,0.477387,0.333333,-5.5237,166,189,64.54249
168,St. Bonaventure,A10,13-10,112.9014,107,113.2557,266,0.490994,168,16.10414,14.89586,5.104137,12.89586,8-Feb,0.479751,0.390507,0.59577,0.513587,0.390507,0.602479,0.84495,0.892936,109.2918,108.8706,109.563,108.0343,113.658,117.1441,109.8038,114.1223,0.390879,3,0.042676,753,800,676.0375,1.113844,1.183366,0.610865,0.2,-5.35778,161,80,66.60369
169,Northern Colorado,BSky,13-10,112.1651,121,112.6758,261,0.486942,169,17.4715,13.5285,7.4715,10.5285,7-Mar,0.394002,0.35543,0.444146,0.401502,0.35543,0.434776,0.889956,0.869612,109.0954,110.6179,108.8622,110.9302,109.9277,113.9921,147.7371,127.8537,0.840546,1,-0.02164,782,802,703.6625,1.111328,1.139751,0.423065,0.3,-6.36394,195,241,68.15367
170,UC Davis,BW,13-9,109.8586,150,110.3707,212,0.486634,170,17.47034,13.52966,10.47034,9.529658,5-Jun,0.446078,0.446683,0.445473,0.456734,0.446683,0.462262,0.873137,0.851995,108.2818,108.6839,107.9857,108.5381,109.0785,108.7819,104.4413,87.329,0.886737,1,0.045627,863,859,800.1,1.078615,1.073616,0.482781,0.545455,-5.0736,155,75,69.02958
171,Penn,Ivy,10-Oct,108.7159,174,109.2456,180,0.48603,171,14.20412,12.79588,7.204121,6.795879,4-Mar,0.476964,0.469674,0.490502,0.461971,0.469674,0.454818,0.873514,0.853441,109.4666,109.208,109.3663,109.9512,107.7984,108.7722,108.3354,119.3212,0.24773,1,-0.00131,522,519,474.9375,1.099092,1.092775,0.419135,0.428571,-6.16862,189,184,68.84413
172,Arkansas St.,SB,13-10,110.2722,144,110.8842,230,0.484095,172,18.84091,12.15909,10.3133,7.686696,6-May,0.432424,0.474611,0.386402,0.389948,0.478962,0.32566,0.889295,0.821084,108.4382,108.8693,106.4483,109.7431,110.4723,112.7118,102.2981,111.2756,0.275406,3,0.020788,884,875,794.775,1.112264,1.100941,0.230207,0.454545,-5.86545,181,115,71.67588
173,Appalachian St.,SB,15-9,104.685,247,105.378,103,0.48104,173,19.44026,11.55974,11.73554,6.264464,4-Aug,0.360859,0.38552,0.336197,0.359096,0.382305,0.342334,0.912951,0.887459,106.8516,111.4596,106.6516,111.5613,104.7227,103.5317,100.4084,100.81,0.488525,1,0.014688,826,745,766.125,1.078153,0.972426,0.354608,0.666667,-5.80855,179,138,62.38868
174,Harvard,Ivy,9-Dec,108.7772,173,109.5646,189,0.479275,174,15.46552,12.53448,8.465523,5.534477,2-May,0.406296,0.388839,0.44121,0.4223,0.388839,0.455762,0.878337,0.864878,107.9355,111.1443,108.4504,111.1183,113.9812,110.0946,104.2847,105.7945,0.458766,1,0.004743,513,483,438.5625,1.169731,1.101325,0.470314,0.714286,-5.43658,163,170,63.00087
175,Columbia,Ivy,14-7,109.6795,155,110.7063,221,0.473236,175,17.70585,10.29415,6.705847,7.294153,4-Mar,0.372265,0.327266,0.462264,0.391936,0.327266,0.456606,0.881869,0.872255,108.4781,111.5659,108.7134,111.5047,109.3437,117.3422,101.6028,109.76,0.291505,2,0.065102,531,571,480.7875,1.104438,1.187635,0.450948,0.428571,-3.61559,107,49,67.17947
176,San Diego,WCC,14-Oct,108.3543,185,109.4396,186,0.471379,176,12.96907,18.03093,6.969069,11.03093,7-Apr,0.506808,0.400432,0.632524,0.515746,0.400432,0.599028,0.824068,0.881656,110.1745,107.243,109.8154,106.9517,110.0345,105.9961,105.4379,109.9398,0.382056,4,-0.06413,847,883,805.65,1.051325,1.096009,0.54639,0.363636,-8.41447,256,312,69.85082
177,New Mexico St.,CUSA,11-Oct,110.7825,134,111.9804,247,0.469119,177,14.62382,15.37618,7.623822,12.37618,8-Mar,0.421656,0.349475,0.487275,0.429462,0.349475,0.469456,0.893825,0.901599,108.3163,108.486,107.7367,108.5516,111.7978,114.2769,124.1199,99.9348,0.923607,1,-0.08477,816,834,734.6625,1.110714,1.135215,0.447676,0.272727,-7.76309,235,336,65.65943
178,Cornell,Ivy,10-Oct,120.78,40,122.1715,358,0.467114,178,13.37877,13.62123,6.37877,7.62123,4-Mar,0.409739,0.39188,0.442906,0.425885,0.39188,0.457461,0.867395,0.84179,107.8319,109.1378,107.9316,109.1726,119.7951,123.4902,145.5982,120.2878,0.899897,1,-0.05191,601,609,498.3125,1.20607,1.222125,0.472017,0.428571,-6.31177,193,292,72.54627
179,Charleston,CAA,15-8,108.0744,188,109.3378,182,0.466636,179,19.53004,11.46996,12.53004,5.469964,2-Aug,0.447757,0.457107,0.435603,0.435793,0.457107,0.420399,0.890911,0.864185,109.5212,111.2968,108.9345,111.3214,108.2783,107.6042,117.8474,108.4975,0.721241,1,0.123047,799,767,717.5625,1.113492,1.068896,0.401394,0.8,-4.15239,128,11,67.85476
180,Loyola Marymount,WCC,13-Nov,103.4526,266,104.6872,85,0.465945,180,13.8626,17.1374,4.862601,13.1374,9-Feb,0.518994,0.387802,0.67404,0.527587,0.387802,0.628542,0.825948,0.899918,110.538,108.2436,110.1723,107.8542,103.8447,108.7169,106.8219,111.4297,0.380916,5,-0.01638,761,886,776.8,0.97966,1.140577,0.557046,0.181818,-7.38078,224,225,67.65185
181,Fordham,A10,11-Dec,103.1343,271,104.3885,82,0.465303,181,15.42673,15.57327,6.426735,11.57327,7-Mar,0.3705,0.158663,0.645889,0.415942,0.158663,0.601755,0.872542,0.977073,107.6973,111.1874,108.1733,110.1306,103.5992,103.8463,104.7439,108.4095,0.402377,1,-0.10004,654,696,644.95,1.014032,1.079153,0.546587,0.3,-7.45738,228,347,63.61132
182,Furman,SC,16-7,107.1725,207,108.5795,157,0.46257,182,20.78729,10.21271,11.78729,6.212707,3-Jul,0.313808,0.374213,0.235281,0.323403,0.374213,0.286706,0.928108,0.90659,107.4918,114.0759,107.5558,114.4531,105.7187,107.7887,0,0,0,0,0.028353,762,700,670.9375,1.135724,1.043316,0.350987,0.7,-4.737,147,99,66.28784
183,Siena,MAAC,16-7,108.5302,179,110.0477,203,0.460165,183,20.73779,10.26221,13.73779,6.262212,3-Sep,0.283117,0.340708,0.230326,0.304174,0.340708,0.28408,0.925537,0.885335,102.9153,112.6916,103.0488,111.8944,112.9077,111.2943,92.83701,104.5367,0.203433,1,0.017788,897,773,754.75,1.188473,1.02418,0.364712,0.75,-4.70596,146,125,64.42128
184,Merrimack,MAAC,14-9,105.6899,234,107.393,139,0.45417,184,19.29356,11.70644,15.29356,4.706436,2-Oct,0.406434,0.514391,0.307474,0.377189,0.514391,0.301728,0.887023,0.785232,106.9846,110.649,105.5763,110.6185,108.601,105.3812,89.68436,110.4993,0.083158,2,0.067161,849,771,764.825,1.110058,1.008074,0.293108,0.833333,-4.98436,154,46,63.4758
185,South Dakota St.,Sum,12-Nov,109.4668,163,111.2679,241,0.453219,185,16.16425,14.83575,9.164252,6.835748,4-Apr,0.406952,0.433851,0.356516,0.384044,0.433851,0.337349,0.88351,0.837309,108.0184,109.0133,107.7874,110.8215,110.9578,112.97,111.5388,107.0355,0.616317,1,-0.0758,648,602,552.3,1.173275,1.089987,0.318183,0.5,-7.83418,239,329,68.04763
186,Northern Kentucky,Horz,14-10,108.1241,187,109.9375,201,0.452326,186,18.11568,12.88432,10.11568,9.884317,7-Jun,0.363967,0.292604,0.424351,0.366614,0.292604,0.407319,0.905,0.89259,110.548,113.7992,110.1806,113.9177,109.1375,109.7038,99.29616,114.9927,0.15607,1,-0.01432,1073,1033,940.0875,1.141383,1.098834,0.375688,0.461538,-6.66952,205,218,69.72071
187,Western Kentucky,CUSA,10-Dec,104.862,244,106.6525,127,0.451476,187,16.58204,14.41796,9.582035,10.41796,6-May,0.467364,0.414321,0.520408,0.464662,0.414321,0.49235,0.866989,0.846792,110.2859,109.4304,109.5774,109.4771,102.3536,107.0476,108.6411,91.23026,0.8817,1,0.048577,780,800,752.7125,1.036252,1.062823,0.458057,0.454545,-5.76303,177,71,69.17622
188,Indiana St.,MVC,14-Oct,107.7146,196,109.564,188,0.451213,188,12.50321,18.49679,5.503207,14.49679,10-Mar,0.43744,0.296877,0.556378,0.478077,0.296877,0.577737,0.849495,0.878256,107.1837,107.744,107.5986,106.8563,110.6082,111.0895,103.1743,106.9959,0.396932,1,-0.10452,987,1034,924.775,1.067287,1.11811,0.617403,0.230769,-9.41622,279,350,68.51297
189,Buffalo,MAC,14-9,113.7893,95,115.7656,303,0.450656,189,18.0868,12.9132,7.659407,10.34059,7-Apr,0.36899,0.259825,0.48808,0.385235,0.27438,0.465297,0.900827,0.940372,106.9623,111.2275,106.9765,110.7903,114.5664,115.5705,0,0,0,0,0.01001,890,889,768.65,1.157874,1.156573,0.429496,0.363636,-6.1041,188,157,66.24991
190,Elon,CAA,13-10,113.7128,97,115.8056,305,0.44776,190,16.92468,14.07532,8.924684,9.075316,5-May,0.396856,0.386937,0.409751,0.408895,0.386937,0.424753,0.892923,0.872875,108.3423,111.4431,107.6693,110.566,109.0401,116.6967,120.425,112.7948,0.679777,2,-0.002,779,792,689.4,1.129968,1.148825,0.443506,0.5,-6.58456,204,186,67.05103
191,Tulane,Amer,13-9,108.692,177,110.7952,227,0.445121,191,16.22577,14.77423,7.225767,10.77423,5-Apr,0.45163,0.397234,0.530203,0.496669,0.397234,0.568483,0.867428,0.902372,106.867,107.8711,108.246,107.6041,108.6616,108.3325,123.6913,119.5716,0.596173,1,0.06611,670,666,625.25,1.071571,1.065174,0.606763,0.444444,-5.42375,162,47,66.46019
192,Drexel,CAA,11-Dec,103.0464,273,105.0449,92,0.445001,192,15.89991,15.10009,9.899912,8.100088,4-Jun,0.362214,0.322091,0.414373,0.383044,0.322091,0.427065,0.913017,0.923369,104.8067,110.385,105.9946,110.6716,100.8861,97.62981,0,0,0,0,-0.08002,636,601,623.525,1.020007,0.963875,0.442931,0.6,-8.30265,248,333,63.38525
193,Utah Tech,WAC,13-11,107.947,191,110.0759,206,0.444087,193,16.72915,15.27085,9.729151,8.270849,4-Jun,0.441734,0.425879,0.46393,0.455766,0.425879,0.479011,0.840851,0.790669,108.4462,107.7409,107.7513,107.2958,109.3174,108.3213,113.5004,107.4197,0.653218,2,0.029248,741,726,686.8625,1.078819,1.05698,0.497861,0.6,-5.58808,168,98,66.42407
194,Texas A&M Corpus Chris,Slnd,11-Dec,101.6418,300,103.6733,75,0.443348,194,16.14962,14.85038,12.14962,9.850377,6-Aug,0.40981,0.438902,0.391108,0.415247,0.438902,0.40557,0.855944,0.748975,109.6991,108.9496,108.7853,109.1238,102.4563,102.6967,93.82556,94.09636,0.491715,4,-0.02439,951,918,910.6875,1.044266,1.00803,0.430878,0.571429,-6.43234,197,246,65.65976
195,New Orleans,Slnd,13-Oct,111.8227,124,114.1858,278,0.440164,195,13.99172,17.00828,11.99172,10.00828,6-Aug,0.5196,0.737606,0.379453,0.502168,0.737606,0.405853,0.812709,0.600287,108.7887,106.7708,108.2546,107.2448,113.1573,115.6562,100.1167,102.6704,0.428087,4,0.016896,1101,1086,970.85,1.134058,1.118607,0.452053,0.571429,-6.82833,213,129,69.32702
196,Towson,CAA,13-11,102.6808,279,104.8579,89,0.439971,196,16.34276,14.65724,8.342755,9.657245,6-May,0.433519,0.460393,0.401758,0.438777,0.460393,0.423166,0.854118,0.7766,110.149,110.1068,109.6832,110.0571,102.5798,105.2412,94.43188,101.1819,0.311317,3,0.013335,754,746,720.2625,1.046841,1.035733,0.456808,0.454545,-6.2731,192,146,63.51034
197,Lipscomb,ASun,15-8,108.0331,189,110.3928,215,0.438195,197,19.84015,11.15985,12.84015,5.159853,2-Aug,0.372663,0.466986,0.250044,0.359665,0.466986,0.282156,0.867682,0.756471,108.907,112.122,108.6082,113.2341,108.4336,113.3652,99.90136,105.7302,0.34251,4,0.070779,818,757,696.125,1.175076,1.087448,0.322297,0.8,-3.62862,110,38,69.68995
198,Youngstown St.,Horz,12-Nov,107.0185,210,109.3656,184,0.437949,198,15.05621,15.94379,8.056209,11.94379,8-Apr,0.361929,0.315466,0.404521,0.375634,0.315466,0.408726,0.903369,0.888863,109.0951,113.0395,109.4401,113.2735,106.9506,110.7332,141.2721,111.0287,0.941052,1,-0.11542,921,921,825.1125,1.116211,1.116211,0.415034,0.333333,-8.86278,266,358,66.91283
199,Jacksonville St.,CUSA,10-Nov,106.0941,225,108.5174,154,0.435434,199,16.03146,14.96854,11.03146,8.968539,4-Jun,0.379699,0.273821,0.496165,0.398585,0.273821,0.467205,0.905157,0.939327,107.3689,109.9519,107.418,109.9851,109.6267,107.076,0,0,0,0,-0.05069,713,704,659.3625,1.081348,1.067698,0.438244,0.6,-7.24432,221,289,64.44615
200,Tarleton St.,WAC,11-Nov,106.4012,218,108.9409,171,0.432596,200,15.3281,15.6719,6.328099,11.6719,7-Feb,0.425988,0.373599,0.501661,0.435733,0.373599,0.480608,0.85794,0.829599,107.655,106.7355,107.1283,107.0559,105.2902,110.8088,105.8771,113.8213,0.303217,4,-0.03457,669,714,652.3125,1.025582,1.094567,0.459555,0.222222,-6.7577,211,261,70.57471
201,Quinnipiac,MAAC,15-9,106.0064,229,108.5506,155,0.432234,201,20.0407,10.9593,13.0407,6.959297,5-Aug,0.367303,0.444306,0.302146,0.33781,0.444306,0.279237,0.897845,0.81043,105.467,110.6441,104.572,111.4673,104.906,109.1209,115.0926,112.5478,0.563932,2,0.048853,997,938,914.475,1.090243,1.025725,0.236692,0.615385,-5.19378,157,70,69.99372
202,Navy,Pat,17-6,103.1969,270,105.9182,115,0.425723,202,22.31394,8.686058,14.31394,3.686058,1-Sep,0.255411,0.297242,0.20103,0.256553,0.297242,0.227166,0.933189,0.893105,103.6392,114.8795,103.8211,114.819,104.3023,104.2908,93.38959,91.66436,0.553403,1,0.041627,746,629,650.2375,1.147273,0.967339,0.259836,0.9,-3.6925,112,83,65.29948
