rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
26,Indiana,B10,15-8,124.0786,21,100.5853,48,0.917886,26,19.66785,11.33215,10.66785,9.332152,6-Jun,0.642995,0.439178,0.829829,0.694918,0.439178,0.835575,0.646189,0.846415,113.5485,104.7299,115.5001,103.8261,126.9804,103.5303,117.9919,103.2395,0.822881,10,-0.05876,944,919,812.9875,1.161149,1.130399,0.844195,0.5,0.83591,46,303,66.85462
27,BYU,B12,17-4,124.1738,20,100.9907,53,0.915019,27,22.5253,8.474702,10.5253,7.474702,3-May,0.663839,0.577136,0.80473,0.728495,0.577136,0.83781,0.630428,0.748839,114.0268,104.5665,115.9591,102.992,124.0044,102.9263,123.5517,98.39623,0.932014,8,0.098725,679,641,578.3875,1.173953,1.108254,0.864274,0.625,4.043568,14,21,70.05641
28,Arkansas,SEC,16-6,126.6911,6,103.7181,76,0.908948,28,21.11281,9.887192,11.11281,6.887192,3-Jun,0.670015,0.557227,0.83293,0.724794,0.557227,0.845814,0.628984,0.708763,115.6498,105.1753,117.3777,104.3323,126.7344,105.3105,126.1026,102.1927,0.918168,10,0.049726,775,734,646.375,1.198994,1.135564,0.858699,0.666667,2.889876,24,67,70.85441
29,North Carolina,ACC,18-4,123.9708,22,101.4962,57,0.908901,29,22.81656,8.183443,10.81656,7.183443,3-Jun,0.619889,0.519528,0.764854,0.68966,0.519528,0.812533,0.674251,0.79169,112.2912,105.7144,114.3898,103.8458,128.9393,107.0899,124.281,104.876,0.875698,7,0.064919,771,727,634.875,1.214412,1.145107,0.860211,0.666667,3.147877,21,50,68.16149
30,Utah St.,MWC,18-3,122.2347,27,100.9927,54,0.899825,30,24.93983,6.060174,15.05583,4.94417,2-Sep,0.570202,0.511992,0.623121,0.628714,0.52125,0.687818,0.776655,0.848918,111.4388,107.1,111.884,105.1706,125.0467,101.2235,118.4606,102.448,0.841588,4,0.041573,911,750,738.4375,1.233686,1.015658,0.766893,0.818182,2.235728,32,84,67.92145
31,Auburn,SEC,14-8,125.1597,11,103.4903,73,0.899013,31,19.13054,11.86946,10.13054,7.869459,4-May,0.716453,0.620437,0.855144,0.753387,0.620437,0.849407,0.590423,0.640656,117.5927,103.6671,118.647,103.4135,126.1045,101.8393,125.8333,104.6016,0.893328,13,0.040186,739,710,629.1125,1.174671,1.128574,0.843669,0.555556,2.333983,28,85,67.55438
32,Villanova,BE,16-5,121.076,38,100.2043,42,0.898063,32,22.63406,8.365938,13.63406,6.365938,3-Jul,0.663262,0.558143,0.778894,0.697607,0.558143,0.774313,0.701849,0.773838,114.766,105.5934,114.8469,104.4357,120.5245,98.84682,115.1848,94.56894,0.906183,7,0.046615,755,705,663.2875,1.13827,1.062888,0.769732,0.7,2.325852,29,74,63.07135
33,Santa Clara,WCC,19-5,122.0858,33,101.7247,58,0.89073,33,23.75028,7.249719,14.75028,3.249719,1-Oct,0.552273,0.549059,0.556071,0.58717,0.549059,0.614695,0.782088,0.798597,110.565,106.3452,111.223,105.6095,125.2955,100.8773,113.3952,96.82989,0.8601,4,-0.00372,978,785,792.725,1.233719,0.990255,0.706818,0.909091,1.021812,42,191,69.68585
34,SMU,ACC,15-7,124.5238,17,104.105,79,0.886915,34,20.9322,10.0678,9.932204,8.067796,5-Apr,0.678584,0.551899,0.861573,0.702295,0.551899,0.810914,0.685774,0.798485,115.0524,104.5254,114.9194,103.9692,125.9314,104.4788,125.4167,102.2305,0.912993,8,0.016152,718,718,624.1375,1.150388,1.150388,0.760255,0.444444,1.390635,39,134,68.68043
35,Wisconsin,B10,16-6,122.1626,28,102.2719,62,0.885315,35,19.80635,11.19365,11.80635,8.193654,3-Aug,0.641754,0.483671,0.799837,0.707073,0.483671,0.829944,0.643227,0.830645,113.9214,105.4813,116.2392,103.8916,126.3709,103.2526,121.4306,104.4951,0.849071,8,0.02756,891,863,761.0625,1.170732,1.133941,0.866741,0.727273,1.585511,38,101,69.4788
36,UCLA,B10,16-7,120.4819,43,100.9898,52,0.883863,36,19.38527,11.61473,11.38527,8.614733,4-Aug,0.620658,0.455954,0.771636,0.691565,0.455954,0.821151,0.646072,0.806909,114.1164,106.5618,115.6302,104.0549,121.0707,100.5506,121.4167,104.5459,0.848183,8,0.006318,909,850,782.925,1.161031,1.085672,0.895422,0.666667,1.06601,41,165,65.03194
37,San Diego St.,MWC,16-6,112.2601,119,94.67712,14,0.876423,37,21.43673,8.563266,15.43673,4.563266,2-Oct,0.608138,0.554854,0.652541,0.631925,0.554854,0.67046,0.741757,0.749771,113.3795,105.7298,113.4388,105.3407,112.003,91.67665,105.4209,93.06395,0.807485,6,0.009567,935,814,856.8375,1.091222,0.950005,0.697339,0.833333,0.882678,44,159,68.46336
38,Saint Mary's,WCC,19-4,118.9811,50,100.4111,44,0.875606,38,24.80458,6.195419,13.80458,4.195419,2-Aug,0.563269,0.545644,0.586181,0.584865,0.545644,0.613191,0.787961,0.821108,110.1606,105.2061,110.5728,105.0388,121.221,102.253,104.6112,96.93322,0.706124,3,0.059723,766,656,649.7625,1.178892,1.0096,0.646953,0.8,2.005246,36,53,65.21046
39,Ohio St.,B10,14-7,122.9739,24,104.1688,81,0.870855,39,18.45817,12.54183,10.16186,9.838144,5-Jun,0.647952,0.46247,0.816572,0.717439,0.505993,0.833735,0.640107,0.812962,113.9813,105.27,116.1883,103.4892,125.6236,105.2089,125.5799,104.3816,0.893426,8,0.004431,857,850,734.95,1.166066,1.156541,0.854712,0.545455,0.639059,51,171,66.9236
40,Texas,SEC,14-9,125.5605,9,106.413,122,0.870207,40,18.02867,12.97133,9.028671,8.971329,5-May,0.608529,0.421997,0.85102,0.667185,0.421997,0.844265,0.639561,0.767679,114.1741,105.5655,115.849,104.7508,127.731,106.8308,127.8501,106.2553,0.893563,11,-0.01847,823,796,683.175,1.204669,1.165148,0.835821,0.5,0.071408,57,235,66.99711
41,New Mexico,MWC,18-4,116.4394,71,98.70631,28,0.869897,41,23.71841,7.281589,14.71841,5.281589,2-Sep,0.538078,0.470622,0.605535,0.589452,0.470622,0.654809,0.7707,0.820735,110.3624,106.9622,111.168,105.7536,117.8695,95.94691,112.1394,94.35204,0.879337,5,0.052125,898,739,772.8,1.162008,0.956263,0.715033,0.818182,1.627272,37,65,69.90623
42,Georgia,SEC,16-6,120.6646,41,102.4054,64,0.868398,42,20.30118,10.69882,8.301175,9.698825,5-Apr,0.580312,0.389086,0.856527,0.65848,0.389086,0.853042,0.686954,0.873069,112.1087,107.5914,114.677,105.9806,120.2814,103.8319,121.3593,101.4906,0.886561,9,0.02507,744,772,667.625,1.114398,1.156338,0.849556,0.444444,1.015977,43,105,73.65072
